ID,AreaID,AnatomyID
1367,650,03000
1368,651,03000
8496,4257,03000
8497,4258,01000
8498,4259,03000
8499,4260,01000
8500,4261,02000
8501,4261,00001
8502,4262,04000
8503,4263,08000
8504,4263,00001
8505,4264,10000
8506,4265,09000
8507,4265,00100
8508,4265,00002
8509,4266,09000
8510,4266,00200
8511,4266,00002
8512,4267,09000
8513,4267,00400
8514,4267,00002
8515,4268,09000
8516,4268,00300
8517,4268,00002
8518,4269,08000
8519,4269,00001
8520,4270,08000
8521,4270,00001
8522,4271,02000
8523,4271,00001
8524,4272,04000
8525,4273,05000
8526,4273,00010
8527,4274,05000
8528,4274,00200
8529,4274,00010
8530,4275,04000
8531,4276,02000
8532,4276,00001
8533,4277,05000
8534,4277,00400
8535,4277,00010
8536,4278,06000
8537,4278,00300
16389,7019,01000
16390,7020,01000
16391,7021,03000
16392,7022,10000
16393,7023,10000
16394,7024,10000
16395,7025,01000
16396,7026,01000
16397,7027,03000
16398,7028,03000
16400,7029,05000
16401,7030,05000
16402,7031,02000
16403,7032,04000
16404,7033,06000
16405,7034,08000
16406,7035,10000
16407,7036,09000
16408,7037,08000
16409,7038,06000
16410,7039,05000
16411,7040,02000
16412,7041,04000
16413,7042,05000
16414,7043,05000
16415,7044,01000
16416,7045,01000
16417,7046,01000
16418,7047,01000
16419,7048,03000
16420,7049,05000
16421,7050,05000
16422,7051,05000
16423,7052,10000
16424,7053,09000
16425,7054,09000
16426,7055,07000
16427,7056,02000
16428,7057,04000
16429,7058,05000
16430,7059,02000
16431,7060,05000
16432,7061,05000
16433,7062,04000
16434,7063,07000
16435,7064,03000
16436,7065,05000
16437,7066,01000
16438,7067,01000
16439,7068,01000
16440,7069,01000
16441,7070,03000
16442,7071,03000
16443,7072,08000
16444,7073,06000
16445,7074,05000
16446,7075,07000
16447,7076,02000
16448,7077,04000
16449,7078,04000
16450,7079,05000
16451,7080,05000
16452,7081,05000
16453,7082,05000
16454,7083,09000
16455,7084,09000
16456,7085,09000
16457,7086,10000
16458,7087,08000
16459,7088,06000
16460,7089,05000
16461,7090,01000
16462,7091,01000
16463,7092,01000
16464,7093,01000
16465,7094,05000
16466,7095,08000
16467,7096,08000
16468,7097,06000
16469,7098,08000
16470,7099,06000
16471,7100,06000
16472,7101,02000
16473,7102,04000
16474,7103,10000
16475,7104,02000
16476,7105,04000
16477,7106,10000
16478,7107,07000
16479,7108,01000
16480,7109,01000
16481,7110,03000
16482,7111,01000
16484,7113,05000
16485,7114,05000
16486,7115,07000
16487,7116,07000
16488,7117,10000
16489,7118,04000
16490,7119,02000
16491,7120,05000
16492,7121,09000
16493,7122,08000
16494,7123,08000
16495,7124,06000
16496,7125,08000
16497,7126,06000
16498,7127,09000
16499,7128,10000
16500,7129,07000
16501,7130,02000
16502,7131,04000
16503,7132,05000
16504,7133,05000
16505,7134,08000
16506,7135,06000
16507,7136,07000
16508,7137,05000
16509,7138,02000
16510,7139,04000
16511,7140,05000
16512,7141,01000
16513,7142,01000
16514,7143,01000
16515,7144,01000
16516,7145,03000
16517,7146,01000
16518,7147,01000
16519,7148,01000
16520,7149,03000
16521,7150,08000
16522,7151,06000
16523,7152,05000
16524,7153,05000
16525,7154,09000
16526,7155,09000
16527,7156,09000
16528,7157,09000
16529,7158,08000
16530,7159,06000
16531,7160,07000
16532,7161,07000
16533,7162,05000
16534,7163,02000
16535,7164,04000
16536,7165,05000
16537,7166,03000
16538,7167,10000
16539,7168,06000
16540,7169,09000
16541,7170,02000
16542,7171,04000
16543,7172,02000
16544,7173,04000
16545,7174,05000
16546,7175,03000
16547,7176,01000
16548,7177,10000
16549,7178,10000
16550,7179,09000
16551,7180,08000
16552,7181,06000
16553,7182,02000
16554,7183,04000
16555,7184,07000
16557,7185,05000
16558,7186,02000
16559,7187,04000
16560,7188,07000
16561,7189,05000
16562,7190,05000
23568,14174,06000
23574,14180,04000
23575,14181,02000
23576,14182,04000
23577,14183,02000
23578,14184,06000
23579,14185,06000
23580,14186,06000
23581,14187,05000
23582,14188,03000
23583,14189,03000
23584,14190,05000
23585,14191,05000
23586,14192,09000
23587,14193,05000
23588,14194,06000
23589,14195,05000
23590,14196,02000
23591,14197,04000
23592,14198,02000
23593,14199,04000
23594,14200,05000
23923,14525,05000
23924,14525,00010
23925,14525,00300
23928,14526,10000
43183,22193,05000
43184,22193,00010
43185,22193,00100
43189,22194,05000
43190,22194,00010
43191,22194,00200
43192,22195,05000
43193,22195,00020
43194,22195,00200
43195,22196,05000
43196,22196,00020
43197,22196,00300
43198,22197,05000
43199,22197,00010
43200,22197,00300
43201,22198,05000
43202,22198,00020
43203,22198,00400
43204,22199,09000
43205,22200,09000
43206,22201,07000
43313,22243,05000
43314,22243,00030
43315,22243,00300
43316,22244,05000
43317,22244,00030
43318,22244,00400
43319,22245,05000
43320,22245,00030
43321,22245,00200
43322,22246,05000
43323,22246,00020
43324,22246,00300
43325,22247,08000
43326,22248,06000
43327,22248,00300
43328,22249,06000
43329,22249,00200
43330,22250,06000
43331,22250,00400
43332,22251,05000
43333,22251,00030
43334,22251,00300
43335,22252,05000
43336,22252,00020
43337,22252,00300
43338,22253,05000
43339,22253,00020
43340,22253,00400
43341,22254,05000
43342,22254,00030
43343,22254,00100
43344,22255,05000
43345,22255,00030
43346,22255,00400
43347,22256,05000
43348,22256,00030
43349,22256,00300
43350,22257,05000
43351,22257,00030
43352,22257,00200
